,EVENT,二次大戰,九州熊本強震
268,PERSON,,伊斯坦大．貝雅夫．正福
240,PERSON,,吳銘賜
266,PERSON,,翁瑞珠
96,PERSON,林全,
97,PERSON,柯文哲,
98,PERSON,陳菊,
99,PERSON,陳寶輝,
100,PERSON,馬英九,
101,PERSON,吳宏謀,
102,PERSON,賴清德,
103,PERSON,UBaMyoThein,
104,PERSON,孫翠鳳,
105,PERSON,顏久榮,
106,PERSON,蔡復進,
107,PERSON,劉景寬,
108,PERSON,林佳龍,
109,PERSON,許慧玉,
110,PERSON,日月暘,
111,PERSON,王詹樣,
112,PERSON,陳菊昨,
113,PERSON,王永在,
114,PERSON,項羽,
115,PERSON,沈英章,
116,PERSON,簡文彬,
117,PERSON,明華園,
118,PERSON,陳宜民,
119,PERSON,洪孟啟,
324,PERSON,,馬英九
95,PERSON,林國正,
94,PERSON,陳皆興,
93,PERSON,朱立倫,
92,PERSON,黃柏霖,
265,PERSON,,崇仙亭
264,PERSON,,三清太乙
263,PERSON,,何權峰
262,PERSON,,林芳如
261,PERSON,,周玲妏
260,PERSON,,黃淑美
259,PERSON,,張豐藤
258,PERSON,,陳順利
257,PERSON,,陳政聞
256,PERSON,,顏曉菁
255,PERSON,,羅鼎城
254,PERSON,,林瑩蓉
267,PERSON,,洪孟啟
253,PERSON,,吳宏謀
251,PERSON,,陳明澤
250,PERSON,,李喬如
249,PERSON,,翁太明
248,PERSON,,張漢忠
247,PERSON,,邱俊憲
246,PERSON,,康議長
245,PERSON,,陳信瑜
244,PERSON,,鍾盛有
243,PERSON,,簡煥宗
242,PERSON,,甲仙天
241,PERSON,,顏久榮
239,PERSON,,郭建盟
252,PERSON,,陳慧文
325,PERSON,,仙官
